esd,esd_name,district,type,response
113,Capital Region Educational Service District,Aberdeen,School District,false
113,Capital Region Educational Service District,Adna,School District,false
101,Northeast WA Educational Service District,Almira,School District,false
189,Northwest Educational Service District,Anacortes,School District,true
189,Northwest Educational Service District,Arlington,School District,true
123,Educational Service District,Asotin-Anatone,School District,false
121,Puget Sound Educational Service District,Auburn,School District,false
121,Puget Sound Educational Service District,Bainbridge Island,School District,false
112,Educational Service Agency,Battle Ground,School District,false
121,Puget Sound Educational Service District,Bellevue,School District,true
189,Northwest Educational Service District,Bellingham,School District,false
101,Northeast WA Educational Service District,Benge,School District,false
121,Puget Sound Educational Service District,Bethel,School District,true
105,Educational Service District,Bickleton,School District,false
189,Northwest Educational Service District,Blaine,School District,true
113,Capital Region Educational Service District,Boistfort,School District,false
114,Olympic Educational Service District,Bremerton,School District,false
171,North Central Educational Service District,Brewster,School District,false
171,North Central Educational Service District,Bridgeport,School District,false
114,Olympic Educational Service District,Brinnon,School District,false
189,Northwest Educational Service District,Burlington-Edison,School District,true
112,Educational Service Agency,Camas,School District,true
114,Olympic Educational Service District,Cape Flattery,School District,false
121,Puget Sound Educational Service District,Carbonado,School District,false
171,North Central Educational Service District,Cascade,School District,false
171,North Central Educational Service District,Cashmere,School District,false
112,Educational Service Agency,Castle Rock,School District,false
112,Educational Service Agency,Centerville,School District,false
114,Olympic Educational Service District,Central Kitsap,School District,false
101,Northeast WA Educational Service District,Central Valley,School District,true
113,Capital Region Educational Service District,Centralia,School District,false
113,Capital Region Educational Service District,Chehalis,School District,true
101,Northeast WA Educational Service District,Cheney,School District,true
101,Northeast WA Educational Service District,Chewelah,School District,true
114,Olympic Educational Service District,Chimacum,School District,false
123,Educational Service District,Clarkston,School District,false
105,Educational Service District,Cle Elum-Roslyn,School District,false
121,Puget Sound Educational Service District,Clover Park,School District,true
101,Northeast WA Educational Service District,Colfax,School District,false
123,Educational Service District,College Place,School District,false
101,Northeast WA Educational Service District,Colton,School District,false
101,Northeast WA Educational Service District,Columbia (Stevens),School District,false
123,Educational Service District,Columbia (Walla Walla),School District,false
101,Northeast WA Educational Service District,Colville,School District,false
189,Northwest Educational Service District,Concrete,School District,false
189,Northwest Educational Service District,Conway,School District,false
113,Capital Region Educational Service District,Cosmopolis,School District,false
171,North Central Educational Service District,Coulee-Hartline,School District,false
189,Northwest Educational Service District,Coupeville,School District,true
114,Olympic Educational Service District,Crescent,School District,false
101,Northeast WA Educational Service District,Creston,School District,false
101,Northeast WA Educational Service District,Curlew,School District,false
101,Northeast WA Educational Service District,Cusick,School District,false
105,Educational Service District,Damman,School District,false
189,Northwest Educational Service District,Darrington,School District,false
101,Northeast WA Educational Service District,Davenport,School District,false
123,Educational Service District,Dayton,School District,false
101,Northeast WA Educational Service District,Deer Park,School District,false
121,Puget Sound Educational Service District,Dieringer,School District,false
123,Educational Service District,Dixie,School District,false
101,Northeast WA Educational Service District,East Valley (Spokane),School District,false
105,Educational Service District,East Valley (Yakima),School District,false
171,North Central Educational Service District,Eastmont,School District,false
105,Educational Service District,Easton,School District,false
121,Puget Sound Educational Service District,Eatonville,School District,true
189,Northwest Educational Service District,Edmonds,School District,false
105,Educational Service District,Ellensburg,School District,false
113,Capital Region Educational Service District,Elma,School District,false
101,Northeast WA Educational Service District,Endicott,School District,false
171,North Central Educational Service District,Entiat,School District,false
121,Puget Sound Educational Service District,Enumclaw,School District,false
171,North Central Educational Service District,Ephrata,School District,false
113,Capital Region Educational Service District,Evaline,School District,false
189,Northwest Educational Service District,Everett,School District,false
101,Northeast WA Educational Service District,Evergreen (Stevens),School District,false
112,Educational Service Agency,Evergreen (Clark),School District,true
121,Puget Sound Educational Service District,Federal Way,School District,true
189,Northwest Educational Service District,Ferndale,School District,true
121,Puget Sound Educational Service District,Fife,School District,false
123,Educational Service District,Finley,School District,false
121,Puget Sound Educational Service District,Franklin Pierce,School District,false
101,Northeast WA Educational Service District,Freeman,School District,false
101,Northeast WA Educational Service District,Garfield,School District,false
112,Educational Service Agency,Glenwood,School District,false
105,Educational Service District,Goldendale,School District,false
171,North Central Educational Service District,Grand Coulee Dam,School District,false
105,Educational Service District,Grandview,School District,false
105,Educational Service District,Granger,School District,false
189,Northwest Educational Service District,Granite Falls,School District,false
113,Capital Region Educational Service District,Grapeview,School District,false
101,Northeast WA Educational Service District,Great Northern,School District,false
112,Educational Service Agency,Green Mountain,School District,false
113,Capital Region Educational Service District,Griffin,School District,true
